TWEETS,KEYWORDS,FINE-GRAINED,REASONS
"â€œJust a phaseâ€, i tell myself and work harder than before...","Coping, Self-encouragement",Delighted,Encouraging self to overcome
"Not too well, but I'm building on it","Coping, Progress",Optimistic,Acknowledging improvement in coping
Poorly,Coping,Frustrated,Poor coping with setbacks
I speak to my parents for encouragement,"Coping, Family, Support",Delighted,Seeking family support for encouragement
I get hurt at start but get myself together and tell myself...,"Coping, Self-encouragement",Delighted,Self-encouragement to overcome
Despite my hard work I took a lot of blows in L100 and L200...,"Resilience, Coping",Optimistic,Coping with academic setbacks
I try my best to encourage myself and come back stronger,"Coping, Self-encouragement",Delighted,Self-encouragement for improvement
I get up again and redo,"Persistence, Learning",Optimistic,Perseverance in learning
Very well,"Resilience, Coping",Optimistic,Strong coping with setbacks
Crying,"Coping, Emotion",Frustrated,Coping through emotional release
Encouragement from my parents,"Encouragement, parents",Encouragement,"Positive sentiment, parental support"
Not well enough,Not well,Bad influence,Indicates a negative state of well-being
Very well,Very well,Optimistic,"Positive sentiment, confident"
90% able to cope,Able to cope,Optimistic,Positive outlook on coping skills
"""One main reason why students in the university fail is because they keep blaming some lecturers for their poor teaching skills. For me, I don't blame anyone. If a lecturer isn't teaching a course well, I make sure I study it on my own to pass. Sometimes, we do some courses that aren't really of interest to us (Individual interest), but I try my best to pass it and go through diverse ways.""","University, fail, blame, lecturers, teaching skills",Ambivalent,Mixed feelings about blaming lecturers for academic difficulties
I reflect on what caused those failures/setbacks and work hard to avoid repeating them.,"Reflect, failures, setbacks",Ambivalent,Reflecting on past failures and determination to improve
I pray and study harder,"Pray, study harder",Optimistic,Positive approach to overcoming challenges
Very well cause I canâ€™t keep dwelling on the past,"Dwelling, past",Optimistic,Emphasis on moving forward and not dwelling on past mistakes
"""I cross check my area of weakness and strength, mistakes, and errors made And I come back very prepared""","Weakness, strength, mistakes, errors",Delighted,Expresses enthusiasm for self-improvement and preparedness
Not so well,Not so well,Frustrated,Indicates frustration with current state
Self Motivation,Self Motivation,Optimistic,Emphasis on motivating oneself
"Not very well, but we keep pushing",Keep pushing,Frustrated,Persistence despite facing difficulties
Try to encourage myself and learn well.,"Encourage, learn well",Optimistic,Positive attitude towards self-encouragement and learning
Not very well,Not very well,Frustrated,Indicates dissatisfaction with current situation
Putting my very best the next time,Putting my best,Optimistic,Determination to improve
I try to nullify it when I face one,Nullify,Ambivalent,Attempts to neutralize the effect of failures
Not so well,Not so well,Frustrated,Indicates dissatisfaction with current state
"Not really well, would overthink for a while",Overthink,Frustrated,Tendency to overthink and feel frustrated
You canâ€™t fail without succeeding mindset,Succeeding mindset,Optimistic,Positive outlook on failure and success
I tell myself I would do better next time.,Do better,Optimistic,Determination to improve
Drags me down more so not very well I guess,Drags me down,Frustrated,Acknowledges the negative impact of something dragging them down
Not too well. Especially when I try my best and it still doesn't work out.,Doesn't work out,Frustrated,Frustration when efforts do not yield desired results
Good,Good,Optimistic,Indicates a positive state of being
I try harder,Try harder,Optimistic,Determination to put in more effort
Studying harder,Studying harder,Optimistic,Emphasis on increased effort in studying
I seek advice from my lecturers and try my best to learn consistently,"Seek advice, learn consistently",Optimistic,Positive approach to seeking guidance and consistency in learning
Very hard to cope with it,Hard to cope,Frustrated,Indicates difficulty in coping with something
Doesn't really affect me,Doesn't affect me,Neutral,No significant impact on the person
If I have a goal in mind it pushes me. I feel the edge to push forward and also to work harder,"Goal in mind, push forward, work harder",Optimistic,Goal-oriented motivation
I donâ€™t really know about that,Don't know,Ambivalent,Uncertainty about a specific situation
Encouraging myself,Encouraging myself,Optimistic,Self-motivation and positivity
I just ignore them and move on.,"Ignore, move on",Ambivalent,Coping strategy of ignoring and moving forward
Find it difficult and frustrating,"Difficult, frustrating",Frustrated,Indicates difficulty and frustration
Lucky I've never gotten some,"Lucky, never gotten",Neutral,Relief for not experiencing something negative
It doesn't move me anymore.,Doesn't move me,Neutral,No longer affected by something
"""Currently, I am staying very far from campus. I mostly walk which is not easy. I can come back from lectures without learning because: 1. I will be very tired 2. The household I am residing in is rented by a family friend. There is not enough table for studies. To learn unless thereâ€™s no one watching TV at the hall. We are about 13 people managing everything in the householdâ€”itâ€™s tough I try my possible best but my CWA keeps depreciating over time""","Far from campus, walk, tired, household, tough",Frustrated,Describes challenging living conditions affecting academic performance
Good,Good,Optimistic,Indicates a positive state of being
Motivate myself and move on,"Motivate, move on",Optimistic,Emphasis on self-motivation and moving forward
Not really well,Not really well,Frustrated,Indicates dissatisfaction with current situation
Horribly,Horribly,Frustrated,Expresses a negative state of being
Not so well,Not so well,Frustrated,Indicates dissatisfaction with current state
I just encourage myself and it works out,"Encourage, works out",Optimistic,Self-encouragement leading to positive outcomes
It's a challenge I'm still yet to master,"Challenge, master",Ambivalent,Recognizes the difficulty but is determined to improve
I try my best to not repeat what I did wrong,"Not repeat, wrong",Optimistic,Determination to learn from mistakes and avoid repeating them
I try to put in more effort and do better,"More effort, do better",Optimistic,Emphasis on continuous improvement
Good,Good,Optimistic,Indicates a positive state of being
"Well. Even though it sometimes brings some kind of disappointment but all the same, it prompts me that I'm not doing what I'm supposed to do and I can do better","Disappointment, prompts, supposed to do",Ambivalent,Mixed feelings of disappointment and motivation to improve
Theyâ€™re stepping stones for me,Stepping stones,Optimistic,Sees failures as opportunities for growth
Quite well,Quite well,Optimistic,Indicates a positive response to setbacks
I talk to people who are in front of me academically,"Talk to people, academically",Ambivalent,Seeks guidance from those ahead academically
Very low,Very low,Frustrated,Indicates a low point or difficulty
Listen to words of Motivation and Encouragement,"Listen, motivation, encouragement",Optimistic,Relies on motivational and encouraging words
As upsetting as they are I just keep moving on and making adjustments to my day to day schedule to reduce the risk of a repeat,"Upsetting, moving on, adjustments",Ambivalent,Acknowledges upsetting nature of setbacks but emphasizes resilience and adaptation
Moderately well,Moderately well,Optimistic,Indicates a moderate response to challenges
It makes me know my strength and what I have to do in order to improve,"Know strength, improve",Optimistic,Acknowledges personal growth and determination to improve
I just motivate myself and study harder. I'm also good at recognizing my mistakes and work on it,"Motivate, study harder, recognize mistakes",Optimistic,"Emphasis on self-motivation, self-improvement, and learning from mistakes"
I move and try to do better regardless,"Move, do better",Optimistic,Determination to improve regardless of setbacks
I hate academic setbacks and failure,"Hate, academic setbacks, failure",Frustrated,Expresses strong dislike for academic setbacks and failure
Well,Well,Optimistic,Indicates a positive state of being
I just remind myself that failure is part of life and nothing good comes easy.,"Remind, failure, part of life",Ambivalent,Acceptance of failure as part of life and recognition of the value of hard work
Don't know but I always find something to prevent me from thinking about it so much.,"Don't know, prevent thinking",Ambivalent,Uncertainty about coping with failure but mentions coping strategies
I try to motivate myself with GOD'S word,Motivate with GOD'S word,Optimistic,Relies on religious motivation and guidance
I just work on the areas I failed so it doesn't happen again,"Work on, failed",Optimistic,Focuses on learning from failures and preventing their recurrence
Sit up and learn from my mistakes,Learn from mistakes,Optimistic,Emphasis on learning and self-improvement
By accepting it and encouraging myself to work harder,"Accepting, work harder",Optimistic,Acceptance of failure and determination to work harder
Motivate myself and try again,"Motivate, try again",Optimistic,Emphasis on self-motivation and persistence
"Not so well but I think I just encourage myself and pray and tell myself I can do better, thatâ€™s how I deal with my failures but I cry too","Encourage, pray, cry, do better",Frustrated,"Indicates a mix of strategies, including self-encouragement, prayer, and emotional release"
"Failing is something I see it to be part of life, so whenever I fail, I come back stronger","Failing, part of life, come back stronger",Optimistic,Accepts failure as part of life and emphasizes personal growth
I seek help from friends,"Seek help, friends",Optimistic,Emphasis on seeking support from friends
"Once I fail, I find it hard to get back on my academic feet as I do give up easily.",Give up easily,Frustrated,Indicates a tendency to give up easily after failing
0.8,0.8,Neutral,"Numerical value, not related to emotional state"
"Somewhat well, it motivates me to put in more effort and work and stops me from slacking off.","Motivates, effort, stops slacking off",Optimistic,Indicates motivation to improve and avoid complacency
I find out other alternatives that can accommodate my situation at that moment. This is because my family is dependent on my academic excellence.,"Alternatives, accommodate, family, academic excellence",Optimistic,Seeks alternative solutions to accommodate family dependence on academic performance
Mix feeling,Mix feeling,Ambivalent,Indicates mixed emotions
I'm always hopeful cuz I know if I put the work in. Boom,"Hopeful, put the work in",Optimistic,Expresses hope and determination to succeed
It is very disheartening and mentally traumatizing to me,"Disheartening, mentally traumatizing",Frustrated,Describes the emotional impact of setbacks
Receive motivation from people who have been there,"Receive motivation, people who have been there",Optimistic,Relies on motivation from those with similar experiences
God enough,God enough,Optimistic,Relies on faith and spirituality for support
It affects me mentally and my ability to socialize with others,"Affects mentally, ability to socialize",Frustrated,Describes the impact on mental well-being and social interactions
Self motivation,Self motivation,Optimistic,Emphasis on self-motivation and positivity
I just don't give up because I know I'll make it with God by my side,"Don't give up, God by my side",Optimistic,Determination and reliance on faith
The word of God and the Holy Spirit comforts me,"Word of God, Holy Spirit comforts",Optimistic,Finds comfort and solace in religious beliefs
One of my principles is that I never give up and hence believe in Allah to show me the right path,"Never give up, believe in Allah",Optimistic,Emphasizes determination and faith in finding the right path
Terribly,Terribly,Frustrated,Expresses a negative state of being
"I try my best to come back up, cause I know what Iâ€™m capable of","Come back up, capable of",Optimistic,Determination to bounce back based on self-belief
Not so good,Not so good,Frustrated,Indicates dissatisfaction with current state
Very well,Very well,Optimistic,Indicates a positive response to challenges
Not so well,Not so well,Frustrated,Indicates dissatisfaction with current state
Fast,Fast,Optimistic,Indicates a rapid response to challenges
Encourage myself to do better,"Encourage, do better",Optimistic,Self-encouragement and determination to improve
I psych my mind to accept it and move on,"Psych mind, accept, move on",Optimistic,Psychological coping strategy to accept and move on
I know failure does not matter but how strong you come back,"Failure does not matter, come back strong",Optimistic,Emphasizes the importance of resilience and strength after failure
"I have never failed. With the setbacks, it sometimes makes me lose hope","Never failed, setbacks, lose hope",Ambivalent,Denial of failure but acknowledges moments of hopelessness
I tell myself that that's not the end so I put in much effort into the next exams,"Not the end, effort into the next exams",Optimistic,Emphasis on continuous effort and learning after setbacks
"Very bad; I hardly speak about it, yet I feel the effects on my health. My heart sometimes begins to constrict, I get into a moody state, and I hardly talk to anyone. After 2 or 3 days, I ask myself, If I were to lose my life today, is it all worth it? Then I hope for the future by saying, All is well.""","Very bad, effects on health, moody, worth it, hope",Frustrated,Describes severe emotional and physical impact of setbacks and a struggle with hope and worthiness
Yes I'm very comfortable,comfortable,delighted,Indicates a positive attitude towards seeking help.
No please,please,frustrated,Expresses reluctance or refusal to seek help.
Yes please because their explanation helps us to understand the concept,"please, explanation",optimistic,Shows optimism about the benefits of seeking help.
Yeah. I feel okay and understands better when I seek extra explanations to any treated topics from peers in class...,"understands, seek, explanations",optimistic,Reflects an optimistic view of seeking help for better understanding.
Yeah why,why,ambivalent,"Ambiguous response, neither positive nor negative."
At first I wasn't comfortable because the gaze they use to look at me seems as if they were questioning my intelligence...,"comfortable, gaze, questioning",frustrated,Initially uncomfortable due to perceived judgment.
Yes â€¦.to acquire more knowledge and understanding,"acquire, knowledge, understanding",optimistic,Indicates seeking help for knowledge and understanding.
Yes very comfortable,comfortable,delighted,Expresses comfort in seeking help.
"Yes, I believe it is another way to aid getting better results regarding my educational pursuits","believe, better results, educational",optimistic,Believes seeking help leads to better results.
"Yes, during the one-v-one sessions, I get to understand the topic of interest better","one-v-one sessions, understand",optimistic,Highlights benefits of one-on-one sessions for understanding.
Yeah because they are friendly,friendly,delighted,Friendly peers make seeking help comfortable.
Yeah I do because everyone needs help in life.,"everyone, needs help",optimistic,Recognizes the universal need for help.
yes am very comfortable,comfortable,delighted,Expresses comfort in seeking help.
"Yes, I'm comfortable seeking academic support or assistance from tutors or peers because they know better than me","comfortable, academic support",optimistic,Trusts the expertise of tutors and peers.
Yes I am,-,delighted,Simple affirmation of comfort in seeking help.
No Iâ€™m not I resort to online and self tutorials,"resort, online, self tutorials",frustrated,Chooses online and self-study over seeking help.
Yesss Iâ€™m not shy of any,not shy,delighted,Expresses confidence in seeking help.
"Yeah, it actually makes me understand what I don't really understand well in class but unfortunately I don't seek them...","understand, seek, unfortunate",ambivalent,Acknowledges benefits but doesn't always seek help.
Yeah I'm comfortable with seeking from peers because most time things I don't understand in class they manage to find ways...,"comfortable, understand, find ways",optimistic,Recognizes peers' ability to help understand topics.
Not really. Some tutors make me feel so uncomfortable (with their choice of words) same thing for my peers...,"uncomfortable, choice of words",frustrated,Uncomfortable due to tutors' and peers' behavior.
Yes. Because most of them are very welcoming and have time to make me understand the concept of whatever Iâ€™m being taught.,"welcoming, make understand",optimistic,Positive experience with welcoming tutors and peers.
Yes because I don't have a choice,don't have a choice,ambivalent,"Feels compelled to seek help, not necessarily delighted."
sometimes,sometimes,ambivalent,Indicates occasional willingness to seek help.
Yeah,-,ambivalent,Simple acknowledgment without clear sentiment.
No Iâ€™m fine itâ€™s just that Iâ€™m lazy to learn,lazy to learn,frustrated,Attributes not seeking help to laziness.
"Yeah I need support because sometimes when I learn on my own, I easily forget but with someone make it stick","need support, easily forget",optimistic,Recognizes the value of support in retaining knowledge.
Yes. Without them I might be declining academically. It really helps me to gather information to reach the level they were...,"declining academically, gather info",optimistic,Acknowledges help in preventing academic decline.
Yeah because I canâ€™t know everything at a go,can't know everything,optimistic,Recognizes the limits of one's knowledge.
Yes because I get better understanding,get better understanding,optimistic,Seeks help for better understanding.
Sometimes,sometimes,ambivalent,Indicates occasional willingness to seek help.
Not really,-,ambivalent,Indicates a lack of clear sentiment about seeking help.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
Yes my peers,peers,optimistic,Trusts peers for support and understanding.
"oh yes, from peers, because I get to understand it better","from peers, understand",optimistic,Values peer assistance for better understanding.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
Not really,-,ambivalent,Indicates a lack of clear sentiment about seeking help.
Oh yesâ€¦two heads are always better than one,"two heads, better than one",optimistic,Recognizes the value of collaboration in learning.
I mostly find it hard to approach people with my difficulties,"find it hard, approach people",frustrated,Difficulty in approaching others with difficulties.
Yesâ€¦because they might teach me freely,teach me freely,optimistic,Expects free assistance from others.
Yes I am since they have in-depth knowledge about whatever help that I will need,"in-depth knowledge, help",optimistic,Trusts the expertise of those providing help.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
Not that much. Most of times I understand when I deeply focus alone but inquire help rarely when things are totally...,"deeply focus, inquire help",ambivalent,Believes in self-study but occasionally seeks help.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
"No, I'm an introvert",introvert,ambivalent,Introverted nature may hinder seeking help.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
It helps to deepen my understanding to the course,"deepen understanding, course",optimistic,Recognizes the benefits of seeking help for understanding.
Yeah because I want to do well,want to do well,optimistic,Seeks help for achieving academic success.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
No am not comfortable with it,not comfortable,frustrated,Expresses discomfort with seeking help.
yes i am because i feel like they can explain things to me in a way that i can easily understand most of the time.,"explain, understand",optimistic,Trusts others to explain things effectively.
"Yes, boosts self confidence",boosts self confidence,optimistic,Seeks help to boost self-confidence.
My classmates are the best. The top students offer helping hands to all,"classmates, top students, helping",optimistic,Values classmates for offering help.
Very comfortable,comfortable,delighted,Expresses high comfort in seeking help.
No because I'm an incredibly shy person,incredibly shy,frustrated,Shyness hinders seeking help.
Yes. I am not shy to let people who are better than me in an area enlighten me,"not shy, better than me",optimistic,Open to learning from those with more knowledge.
I am comfortable because they help in better understanding what was difficult to understand,"comfortable, better understanding",optimistic,Recognizes the role of help in understanding difficult concepts.
"From lecturers, no.",lecturers,frustrated,Uncomfortable seeking help from lecturers.
I am more than comfortable. Because they will keep me in focus,"comfortable, keep me in focus",delighted,Confident in help maintaining focus.
"Yes, because I need them to get better",need them to get better,optimistic,Acknowledges the need for help to improve.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
No,-,frustrated,Indicates a reluctance or refusal to seek help.
"Yes, it gives me better understanding",gives better understanding,optimistic,Recognizes the benefit of help for understanding.
"Not comfortable with peers, the last three I tried all aired me","not comfortable, aired me",frustrated,Negative experiences with peers not providing help.
Yh I'm comfortable. Because I'm able to express my feelings to my peers well.,"comfortable, express feelings",optimistic,Comfortable in expressing needs to peers.
Yes because I get to learn things I didn't hear from class,"get to learn, didn't hear from class",optimistic,Values learning from peers.
"""Yes, sometimes , I meet up with a lecturer in my department and in an attempt to talk about stress, they'll give me...","sometimes, lecturer, talk about stress",ambivalent,Occasionally seeks help from lecturers.
No. I feel they will look down on me.,look down on me,frustrated,Feels judged by others when seeking help.
I am more comfortable with seeking academic support from my peers because they help me understand better and I'm...,"comfortable, understand better",optimistic,Trusts peers for better understanding.
Yes two heads are always better than 1,"two heads, better than 1",optimistic,Recognizes the value of collaboration in learning.
Never have I ever seek assistance from my tutors or peers because I know how to balance my life,"seek assistance, balance my life",frustrated,Chooses self-reliance over seeking help.
"Yes, because I wish to improve so well",wish to improve so well,optimistic,Seeks help for self-improvement.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
"No, they don't explain for me to understand",don't explain,frustrated,Unsatisfactory explanations hinder seeking help.
"Yes, Words from good or senior people brings comfort",Words from good or senior people,optimistic,Values advice from experienced individuals.
Very comfortable,comfortable,delighted,Expresses high comfort in seeking help.
"No,",-,frustrated,Indicates a reluctance or refusal to seek help.
"""Yes I like to seek help from others to also get how they understand the concept of it ""","seek help, understand the concept",optimistic,Values different perspectives for understanding.
"Yh, cos I'm not shy about that",not shy,delighted,Expresses confidence in seeking help.
"Yes, because I know I might trail if I don't",might trail,optimistic,Acknowledges the risk of falling behind without help.
my tutor made someone tell me not to call him sometime so i havenâ€™t seen him since I came to knust. i have one friend...,"tutor, haven't seen him, one friend",frustrated,Frustration with tutor's unavailability.
"""Yes Because I want to understand what's troubling me.""","want to understand, troubling me",optimistic,Seeks help to understand personal challenges.
No. Find it difficult to talk to people,difficult to talk to people,frustrated,Difficulty in communicating needs to others.
"From peers, yes. From tutors, not really.","peers, tutors",ambivalent,More comfortable seeking help from peers than tutors.
No. Iâ€™m not good at socializing,not good at socializing,frustrated,Socializing difficulties hinder seeking help.
Very comfortable because I don't have a problem admitting,"comfortable, don't have a problem",delighted,Comfortable in admitting the need for help.
Yes Iâ€™m comfortable and help me understand things better,"comfortable, understand better",optimistic,Comfortable and seeks help for better understanding.
Yes. This is because going to them for academic support help you get a further knowledge about the various courses...,"academic support, further knowledge",optimistic,Recognizes the benefits of academic support.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
I'm comfortable because I'm not all knowing,"comfortable, not all knowing",optimistic,Recognizes the limits of one's knowledge.
I don't mind but I don't have that confidence to approach them,"don't mind, don't have confidence",ambivalent,Willing but lacks confidence to seek help.
No but Iâ€™m comfortable with peers,comfortable with peers,optimistic,Comfortable seeking help from peers.
Yes of course,-,delighted,Simple affirmation of comfort in seeking help.
Not so much. Sometimes I believe that I don't know or understand something because I haven't studied,"don't know, haven't studied",ambivalent,"Sometimes believes self-study is sufficient, but not always."
From peers,peers,optimistic,Prefers seeking help from peers.
Yes,-,delighted,Simple affirmation of comfort in seeking help.
No. I feel like I am being a nuisance when trying to seek support.,"feel like, nuisance",frustrated,Feels like a burden when seeking support.
"Personally, I believe in myself. My challenge is the place I am. Itâ€™s not safe to go out at night unless I will just...","believe in myself, challenge",ambivalent,Self-reliant but hindered by external factors.
Yes because you need help,need help,optimistic,Recognizes the need for help.
"Yes, from my peers, because I feel they can also relate","from my peers, can also relate",optimistic,Believes peers can relate to the challenges.
Yes I seek academic support when I need it from both peers and tutors available because it helps in greeting...,"seek academic support, helps in greeting",optimistic,Recognizes the benefits of academic support.
From only specific people because Iâ€™m comfortable with them,"comfortable, specific people",delighted,Seeking help from specific people brings comfort and satisfaction.
"Yes, I'm comfortable because it helps to give me more understanding","comfortable, helps, understanding",optimistic,"Seeking help leads to a better understanding, which is optimistic."
I'm comfortable because I kinda need some counseling,"comfortable, counseling",stressed,Seeking counseling suggests stress and anxiety.
I'm not able to. I'm sometimes intimidated.,"not able, intimidated",anxious,Feeling intimidated suggests anxiety.
"Yes, I am very comfortable.",comfortable,delighted,Feeling comfortable seeking help is a positive emotion.
"Yeah, because itâ€™s the best",best,delighted,Believing it's the best option is a positive feeling.
"No, I'm really shy",shy,anxious,Shyness can lead to anxiety when seeking help.
I'm very comfortable with that because I've realized some things...,"comfortable, realized, peers",optimistic,Realizing the benefits of seeking help is an optimistic view.
I am notâ€¦ I feel I have to do anything by myself,"not, do anything, myself",stressed,Feeling the need to do everything alone suggests stress and anxiety.
"Yes, I don't see any problem seeking for help","don't see, seeking for help",delighted,Seeing no problem in seeking help is a positive attitude.
yes,,delighted,A simple affirmation of comfort in seeking help.
"Yes, because they usually provide alternate measures...","usually, alternate measures, perfect",delighted,Trusting in the provision of perfect alternatives is optimistic.
Yes because they help to ease your misunderstandings,"help, ease, misunderstandings",delighted,Help in easing misunderstandings is a positive outcome.
Iâ€™m comfortable doing it but I wonâ€™t do it...,"comfortable, wonâ€™t, independent options",ambivalent,Willingness to seek help but only as a last resort is ambivalent.
No. Don't know why,don't know why,neutral,"Uncertainty about not seeking help, thus neutral."
Yh. It helps you understand some stuff...,"helps, understand, difficult",optimistic,Believing that seeking help helps in understanding is optimistic.
I hate when I'm not well tuned about something...,"hate, not well tuned, importance",frustrated,Hating the lack of understanding suggests frustration.
So I seek knowledge about the general importance...,"seek, knowledge, importance",optimistic,Seeking knowledge about importance is an optimistic approach.
both...tutors introduce the topics well to me...,"tutors, introduce, topics, peers",optimistic,Both tutors and peers contributing to understanding is optimistic.
Yes,,delighted,A simple affirmation of comfort in seeking help.
"Yes, it makes me feel I have someone to be accountable to...","feel, accountable",optimistic,Feeling accountable when seeking help is optimistic.
I don't feel comfortable seeking for help due to shyness...,"not comfortable, shyness, critical",anxious,"Shyness leading to discomfort suggests anxiety, especially in critical situations."
"I don't really like it, I'm sure with time I'll catch up...","don't like, catch up, try harder",ambivalent,A dislike for seeking help but optimism about catching up over time is ambivalent.
I've no problem,no problem,delighted,Having no problem seeking help is a positive attitude.
"Yes ,l believe if l get the needed help...","believe, needed help, academically",optimistic,Believing that getting needed help leads to academic improvement is optimistic.
"""Yes,from my peers",,,
They grant a better understanding...,"peers, better understanding",optimistic,Peers granting better understanding is optimistic.
"Yes, because gives me better understanding",better understanding,optimistic,Better understanding as a result of seeking help is optimistic.
Yes because Iâ€™m very limited in knowledge,"limited, knowledge",anxious,Feeling limited in knowledge suggests anxiety.
"Yes from tutors, they have been there before...","tutors, been there before",optimistic,Tutors' experience is seen as a positive factor.
Yes i am comfortable. I wasnâ€™t in level 100...,"comfortable, level 100",optimistic,Comfort and optimism in seeking help to improve academic performance.
"No, I find it difficult to let people in on my problems...","difficult, let people in, problems",anxious,Difficulty in sharing problems suggests anxiety.
"Yes, i get to understand the concepts and get more familiar...","understand, concepts, familiar",optimistic,Better understanding and familiarity are positive outcomes.
They do not give me some required attention I need from them...,"not give, required attention, need",frustrated,Lack of attention leading to frustration in seeking help.
"Peers, they help me understand it better","peers, understand, better",optimistic,Peers helping in understanding is optimistic.
"Yes please, because if I don't understand something...","don't understand, something",anxious,Anxiety about not understanding something.
"I am able to, but most of my questions are basic...","able, questions, basic",neutral,Neutral stance on seeking help for basic questions.
Sometimes. Because mostly when taught I get it but if I donâ€™t go...,"sometimes, taught, get it, miss class",ambivalent,Ambivalence about seeking help due to sporadic understanding.
"""Not really comfortable.",,,
"Why shouldn't I understand in the 1st place ""","not comfortable, shouldn't understand",frustrated,Frustration about not understanding initially.
"Hmm, I tried many things but nothing seems to work...","tried, nothing seems to work, down",frustrated,Frustration and disappointment in seeking help that hasn't worked.
Yes. I have to achieve my goals,"achieve, goals",optimistic,Optimism about achieving goals through seeking help.
Yes,,delighted,A simple affirmation of comfort in seeking help.
"Yes, because I feel they could lead me to understanding...","feel, lead me to understanding",optimistic,Belief that seeking help can lead to understanding is optimistic.
Yh,,delighted,A simple affirmation of comfort in seeking help.
"yes, because itâ€™s helps me get a better understanding","helps, better understanding",optimistic,Getting a better understanding through help is optimistic.
iâ€™m comfortable since they can be of great help...,"comfortable, great help",delighted,Comfort in seeking help from those who can be of great help is positive.
"Yes because I know if you want to go fast in life, you go alone...","want to go fast, go alone, go far",optimistic,Belief in the value of seeking help for personal growth is optimistic.
"Not really, I am a shy type. I find difficulty in approaching people...","not really, shy, difficulty",anxious,Shyness and difficulty approaching people suggest anxiety.
Yes,,delighted,A simple affirmation of comfort in seeking help.
"surely, i do seek assistance from my academic advisor...","seek assistance, academic advisor",optimistic,Seeking assistance from an academic advisor is seen as positive.
Study in the quiet. Lofi music. Breaks in between...,"study, quiet, lofi music, breaks",neutral,Neutral description of study habits.
Understanding in classroom before revising later and not...,"understanding, classroom, revising",neutral,Neutral description of study habits.
"""Reading and solving questions alongside...","reading, solving questions, tackle",neutral,Neutral description of study habits.
Solving examples and past questions and it's been...,"solving examples, past questions",neutral,Neutral description of study habits.
Studying with a timer and with my phone away from me...,"timer, phone, away from me",neutral,Neutral description of study habits.
Learning at dawn. Very effective,"learning at dawn, effective",optimistic,Effectiveness of learning at dawn is optimistic.
Study at least two hours every day in the evening...,"study, two hours, every day, evening",neutral,Neutral description of study habits.
Continuous revision of treated topics. Once it sticks...,"continuous revision, sticks",optimistic,The idea of continuous revision leading to better retention is optimistic.
I donâ€™t know,don't know,neutral,Lack of information or stance on study habits.
Continually reading to gain a better understanding...,"continually reading, better understanding",optimistic,Belief in the effectiveness of continual reading for understanding is optimistic.
Group studiesâ€¦.it helps you to share ideas with your group members...,"group studies, share ideas, group members",optimistic,The idea that group studies help in sharing ideas is optimistic.
Using YouTube to study...,"YouTube, study",neutral,Neutral description of study habits.
Late-night learning in quiet places. It has been very effective...,"late-night learning, quiet places",optimistic,Effectiveness of late-night learning in quiet places is optimistic.
Learning at dawn. Due to the low amount of noise in the environment...,"learning at dawn, low noise, environment",optimistic,Effectiveness of learning at dawn due to a quiet environment is optimistic.
Understanding it and making my notes...,"understanding, making notes",optimistic,Belief in the effectiveness of understanding and note-taking is optimistic.
I go through my notes after every day of lectures...,"go through notes, every day, lectures",optimistic,Belief in the effectiveness of reviewing notes after lectures is optimistic.
"""To begin with, have enough rest...","enough rest, quiet place, no distractions",optimistic,The importance of rest and a quiet place for effective studying is optimistic.
I review my notes when I get to my hostel and itâ€™s sometimes effective,"review notes, hostel, sometimes effective",ambivalent,Ambivalence about the effectiveness of reviewing notes at the hostel.
Studying with friends (group studies). It provides the avenue...,"studying with friends, group studies",optimistic,Belief in the effectiveness of group studies for idea sharing is optimistic.
Learning hard from the beginning of the semester...,"learning hard, beginning of semester",optimistic,Belief in the importance of starting strong at the beginning of the semester is optimistic.
Reading...,reading,neutral,Neutral description of study habits.
Studying the topic to be taught in class before the lecturer does...,"studying, topic, before lecturer",optimistic,Belief in the effectiveness of pre-reading before lectures is optimistic.
Reading and reciting. It's hasn't been really effective but it's okay.,"reading, reciting, not effective",ambivalent,Ambivalence about the effectiveness of reading and reciting.
Reading and writing what I'm studying down. Then trying more questions.,"reading, writing, studying, questions",optimistic,Belief in the effectiveness of writing while studying and practicing with questions is optimistic.
"""Organizing all study materials and allocating specific periods...","organizing, study materials, specific periods",optimistic,Belief in the effectiveness of organization and time allocation for studying is optimistic.
Taking notes...,taking notes,neutral,Neutral description of study habits.
I just try to understand the thing and solve more examples...,"try to understand, solve more examples",optimistic,Belief in the effectiveness of understanding and practicing with examples is optimistic.
Group studies and learning right after the course or topic...,"group studies, learning right after",optimistic,Belief in the effectiveness of group studies and immediate learning is optimistic.
Read it every day...,read every day,optimistic,Belief in the effectiveness of daily reading is optimistic.
Learning by discussion...,learning by discussion,optimistic,Belief in the effectiveness of learning through discussion is optimistic.
Quiet and cool place with all my learning materials...,"quiet place, learning materials",optimistic,Belief in the effectiveness of a quiet and well-equipped study environment is optimistic.
